1,Anger,"antagonize,chafing,chagrin,enraged,exasperate,gall,incensed,indignant,infuriate,irascible,irate,irk,livid,outrage,peevish,petulant,pique,rile,seething,uptight,wrathful",
2,Annoy,"badger,chafe,chagrin,exasperate,fester,gall,gnaw,harass,irk,nettle,perturb,rankle,rile,vex",
3,Branches of Study,"anthropology,astronomy,cardiology,cosmology,geriatrics,gynaecology,neurology,pathology,pedagogy,psychiatry","Study of human societies and their development,Study of celestial bodies,Study of human heart,Science of origin and development of the Universe,Study that deals with care of old people,Study of female physiology,Study of nervous system,Branch of medicine that deals with laboratory examination,Method and practice of teaching,Study and treatment of abnormal mental behaviour"
4,Enthusiasm,"alacrity,ardour,ecstasy,effervescence,elan,exhilaration,exuberance,fad,fervour,gaiety,mirth,vehemence,verve,vivacity",
5,Flourish,"abound,burgeon,gorged,plentiful,replete,rife,satiate,surfeit,teem",
6,Foul Smell,"acrid,fetid,malodorous,mephitic,noisome,noxious,pungent,putrid,rank,reeking",
7,Generous,"altruistic,benevolent,eleemosynary,magnanimous,munificent,philanthropic",
8,Greedy,"avaricious,covetous,gluttonous,gourmandizing,insatiable,rapacious,ravenous,voracious",
9,Hate,"abhor,abominate,antipathy,aversion,antagonism,despise,detest,execrate,loathe,odium,rancor,repugnance,revile,",
10,Innocent,"artless,callow,candor,guileless,gullible,ingenuous,innocuous,jejune,naive",
11,Ordinary,"banal,bromide,cliché,hackneyed,humdrum,pedestrian,platitude,trite,vapid",
12,Phobia,"aerophobia,agoraphobia,androphobia,arachnophobia,claustrophobia,elurophobia,gamophobia,gynophobia,nyctophobia,pedophobia,philophobia,pyrophobia,xenophobia,zoophobia","Fear of flying,Fear of open spaces,Fear of men,Fear of spiders,Fear of closed spaces,Fear of cats,Fear of marriage,Fear of women,Fear of darkness,Fear of children,Fear of love,Fear of fire,Fear of strangers or foreigners,Fear of animals"
13,Predict,"augur,adumbrate,foretell,foretoken,harbinger,herald,portend,premonish,presage,prognosticate,prophesy,soothsay",
14,Unusual,"aberrant,anomalous,bizarre,capricious,eccentric,idiosyncratic,outlandish,peculiar,quaint,queer,unorthodox",
15,Villainous,"abominal,atrocious,degenerate,deplorable,depraved,detestable,execrable,flagrant,heinous,ignoble,infernal,iniquitous,miscreant,nefarious,odious,opprobrious",
